Cycle,Tem,电压(V),电流(A),放电容量(Ah)
4470,30.9,3.6501,12.9969,13.0483
4500,30.7,3.65,12.9983,13.0454
4530,30.6,3.65,12.9962,13.044
4560,30.6,3.65,13.0037,13.0419
4590,30.8,3.65,12.9962,13.0414
4620,31.1,3.65,12.9991,13.0403
4650,31.1,3.6501,12.9965,13.0374
4680,30.9,3.65,12.9955,13.0349
4710,30.7,3.6501,13.0047,13.0324
4740,30.5,3.6501,12.9995,13.0302
4770,30.5,3.65,12.9974,13.0277
4800,30.4,3.6501,12.9956,13.0262
4830,30.4,3.6501,13.0016,13.0249
4860,30.5,3.6501,13.014,13.0228
4890,30.4,3.65,13.0,13.0211
4920,30.3,3.65,12.9968,13.0185
4950,30.1,3.6501,12.9979,13.016
4980,29.9,3.65,12.9983,13.0147
5010,29.9,3.6501,12.9965,13.0126
5040,30.0,3.6502,13.0052,13.0119
5070,30.3,3.65,12.9983,13.0103
5100,30.7,3.6501,13.0003,13.0098
5130,30.9,3.65,12.9991,13.0079
5160,30.3,3.65,12.9967,13.0049
5190,30.1,3.65,12.995,13.0024
5220,30.0,3.65,12.9957,13.0006
5250,29.8,3.65,12.9992,12.9985
5280,29.9,3.6501,12.9984,12.9977
5310,30.2,3.65,12.9981,12.9968
5340,30.6,3.65,13.0007,12.9961
5370,30.2,3.6501,13.0082,12.9927
5400,29.9,3.6501,12.9965,12.9902
5430,29.7,3.6501,12.9966,12.9876
5460,29.6,3.65,13.0052,12.9858
5490,29.6,3.65,12.9999,12.9848
5520,29.8,3.65,12.9989,12.984
5550,30.0,3.65,12.9958,12.9829
5580,30.4,3.65,12.9958,12.982
5610,30.8,3.6501,12.9957,12.9809
5640,30.1,3.6501,13.0057,12.9775
5670,30.0,3.6501,12.9971,12.9753
5700,29.9,3.6502,13.0002,12.9733
5730,29.8,3.6501,13.0005,12.9722
5760,29.9,3.6501,13.0022,12.9711
5790,30.3,3.65,12.996,12.9703
5820,30.4,3.6501,12.9947,12.9691
5850,30.8,3.65,12.9965,12.9673
5880,30.1,3.65,12.9989,12.9642
5910,30.0,3.6501,12.996,12.9617
5940,29.9,3.6501,12.9975,12.96
5970,29.9,3.65,12.9962,12.9589
6000,30.0,3.6501,12.9967,12.9582
6030,30.4,3.6502,13.0005,12.9574
6060,30.5,3.65,12.997,12.9556
6090,30.2,3.65,12.9953,12.9528
6120,30.0,3.65,12.9967,12.9511
6150,29.9,3.65,12.9954,12.9492
6180,29.9,3.65,12.9991,12.9475
6210,29.8,3.65,13.0019,12.9463
6240,30.2,3.65,12.9983,12.9458
6270,30.5,3.65,13.0082,12.9443
6300,30.5,3.6501,12.9981,12.9431
6330,30.4,3.65,12.9961,12.9407
6360,30.1,3.6502,12.9998,12.9382
6390,30.1,3.6501,12.9972,12.9364
6420,30.0,3.65,12.9961,12.9346
6450,30.0,3.6501,13.0038,12.9334
6480,30.2,3.65,13.0043,12.933
6510,30.4,3.65,12.9966,12.9316
6540,30.1,3.65,12.9967,12.9292
6570,29.9,3.6501,12.9972,12.9264
6600,29.8,3.65,12.9963,12.9247
6630,29.6,3.6501,13.0141,12.9228
6660,29.5,3.65,12.9998,12.9207
6690,29.6,3.65,12.9985,12.9202
6720,29.8,3.6502,13.003,12.919
6750,29.8,3.65,12.9994,12.9176
6780,29.6,3.6501,13.0024,12.9152
6810,29.6,3.6501,13.0011,12.9137
6840,29.5,3.65,12.998,12.9119
6870,29.4,3.6501,13.011,12.9105
6900,29.3,3.65,12.9997,12.9083
6930,29.4,3.65,12.9962,12.9076
6960,29.4,3.6501,12.9962,12.9061
6990,29.7,3.6501,13.0063,12.9054
7020,29.5,3.6502,12.9968,12.9025
7050,29.4,3.6501,12.9997,12.901
7080,29.3,3.6501,12.9985,12.8989
7110,29.3,3.65,12.9965,12.8975
7140,29.4,3.65,12.9957,12.8964
7170,29.6,3.65,12.9953,12.8959
7200,29.9,3.65,13.0051,12.8948
7230,30.2,3.6501,12.9958,12.8947
7260,30.1,3.6501,12.9958,12.8924
7290,29.8,3.6501,12.9976,12.8899
7320,29.7,3.65,12.9974,12.888
7350,29.7,3.65,12.9973,12.8866
7380,29.7,3.6501,13.004,12.8855
7410,29.8,3.65,12.997,12.8851
7440,30.1,3.65,12.9982,12.8833
7470,30.5,3.6501,12.9993,12.8831
7500,30.3,3.6501,12.9963,12.88
7530,30.0,3.6501,12.9986,12.878
7560,29.9,3.65,12.9958,12.8758
7590,29.8,3.6501,12.9998,12.8747
7620,29.9,3.6501,12.9987,12.8739
7650,30.0,3.65,12.9974,12.8728
7680,30.2,3.65,12.9974,12.872
7710,30.5,3.6501,13.0095,12.8702
7740,30.0,3.65,12.999,12.8678
7770,29.9,3.6501,12.9971,12.8657
7800,29.7,3.65,12.9985,12.8642
7830,29.7,3.65,12.9998,12.8627
7860,29.8,3.65,12.9977,12.8619
7890,30.2,3.6501,12.9971,12.8611
7920,30.2,3.65,12.9979,12.8596
7950,30.5,3.6501,12.9977,12.8582
7980,30.0,3.65,13.0031,12.8561
8010,29.9,3.6501,12.999,12.8536
8040,29.8,3.6502,13.0091,12.8528
8070,29.8,3.65,12.9954,12.8506
8100,30.0,3.6501,12.9984,12.8501
8130,30.2,3.65,12.9966,12.8493
8160,30.4,3.65,12.9949,12.8476
8190,30.4,3.65,12.9982,12.8458
8220,30.1,3.6501,12.9972,12.8435
8250,29.9,3.65,12.9982,12.8413
8280,29.8,3.6501,12.996,12.8396
8310,29.7,3.65,12.9968,12.8384
8340,29.9,3.65,12.9955,12.8377
8370,30.1,3.6502,13.0002,12.8365
8400,30.2,3.6501,13.0004,12.8354
8430,30.6,3.6501,13.0144,12.8345
8460,30.0,3.6501,12.9953,12.832
8490,29.8,3.65,12.9946,12.829
8520,29.8,3.65,12.9945,12.8279
8550,29.8,3.65,12.9948,12.8261
8580,29.9,3.6501,12.9986,12.826
8610,30.2,3.65,12.9969,12.8254
8640,30.4,3.65,12.9983,12.8249
8670,30.6,3.65,12.9953,12.8228
8700,30.3,3.6502,13.0035,12.82
8730,30.1,3.65,12.9952,12.8182
8760,29.9,3.65,12.9955,12.8171
8790,30.0,3.65,12.9966,12.816
8820,30.3,3.6501,12.9963,12.8159
8850,30.7,3.6501,13.0,12.8151
8880,30.8,3.6501,12.9993,12.8137
8910,30.6,3.6501,12.9968,12.8112
8940,30.3,3.6501,13.0004,12.8091
8970,30.2,3.65,13.0032,12.8073
9000,30.2,3.65,12.996,12.8056
9030,30.2,3.6502,13.0003,12.8053
9060,30.6,3.6501,12.9967,12.8045
9090,30.7,3.65,12.9996,12.8031
9120,30.7,3.6501,13.0008,12.8012
9150,30.4,3.6501,12.9967,12.7991
9180,30.3,3.6501,13.0026,12.7973
9210,30.2,3.6501,13.0008,12.7955
9240,30.1,3.65,13.0019,12.7944
9270,30.3,3.65,12.9984,12.7933
9300,30.5,3.6501,13.006,12.7925
9330,30.7,3.6501,13.0091,12.7918
9360,30.5,3.6502,13.0008,12.79
9390,30.4,3.65,12.9998,12.7875
9420,30.2,3.65,12.9962,12.7854
9450,30.1,3.6501,12.9974,12.7839
9480,29.9,3.6501,12.9956,12.7825
9510,30.2,3.65,12.9959,12.782
9540,30.6,3.6501,13.0117,12.7823
9570,31.0,3.65,12.9948,12.7808
9600,30.7,3.6501,12.996,12.7788
9630,30.4,3.6501,12.9943,12.7766
9660,30.3,3.6501,12.9965,12.7745
9690,30.1,3.6502,13.0017,12.7726
9720,30.1,3.6501,12.9961,12.7712
9750,30.3,3.6501,12.9969,12.7715
9780,30.6,3.65,12.9958,12.7706
9810,30.9,3.65,12.9974,12.7699
9840,31.2,3.65,13.0005,12.7685
9870,30.6,3.6501,12.9978,12.7653
9900,30.4,3.6501,12.9951,12.7636
9930,30.2,3.65,12.995,12.7614
