Cycle,Tem,电压(V),电流(A),放电容量(Ah)
4470,27.8,3.9001,13.006,12.4024
4500,28.1,3.9002,13.0136,12.4011
4530,28.3,3.9,12.9931,12.3992
4560,27.6,3.9002,12.9931,12.3977
4590,27.7,3.9001,12.9929,12.4143
4620,27.6,3.9001,12.9928,12.3958
4650,27.5,3.9002,12.993,12.3894
4680,27.4,3.9002,12.9995,12.388
4710,27.7,3.9001,12.9982,12.3843
4740,27.9,3.9001,13.0098,12.3821
4770,28.0,3.9001,13.0108,12.3824
4800,28.5,3.9001,12.9994,12.3809
4830,28.0,3.9,12.9988,12.3831
4860,27.7,3.9001,12.9998,12.381
4890,27.5,3.9002,13.001,12.3735
4920,27.5,3.9001,13.0075,12.3682
4950,27.6,3.9002,13.0051,12.3674
4980,27.9,3.9001,12.9929,12.3629
5010,28.0,3.9002,12.9931,12.3658
5040,28.3,3.9001,12.998,12.364
5070,28.3,3.9001,12.9929,12.36
5100,28.0,3.9,12.9927,12.3557
5130,27.9,3.9001,12.9923,12.3514
5160,27.9,3.9,12.9918,12.3489
5190,27.9,3.9002,13.0124,12.3463
5220,28.0,3.9001,12.9924,12.3441
5250,28.4,3.9001,12.9921,12.3429
5280,28.8,3.9001,12.9967,12.3406
5310,28.5,3.9001,12.9916,12.3393
5340,28.2,3.9002,12.992,12.337
5370,28.0,3.9001,12.9979,12.3364
5400,28.0,3.9002,13.0043,12.3336
5430,27.9,3.9002,13.0,12.3301
5460,28.0,3.9,12.9918,12.3284
5490,28.3,3.9002,12.992,12.3378
5520,28.6,3.9002,12.9924,12.3264
5550,28.7,3.9002,12.9954,12.3253
5580,28.7,3.9001,13.0125,12.3238
5610,28.5,3.9,12.9962,12.3206
5640,28.4,3.9002,12.9972,12.3181
5670,28.3,3.9002,12.9919,12.3154
5700,28.4,3.9001,12.9976,12.3131
5730,28.6,3.9001,12.9963,12.3099
5760,28.9,3.9002,12.9923,12.3106
5790,29.1,3.9002,13.0057,12.3077
5820,28.9,3.9,12.9921,12.3068
5850,28.7,3.9002,12.9918,12.3033
5880,28.6,3.9002,12.9939,12.3008
5910,28.5,3.9002,13.0098,12.2976
5940,28.5,3.9001,12.992,12.2968
5970,28.6,3.9001,12.992,12.3005
6000,28.8,3.9,13.003,12.2947
6030,29.1,3.9,12.9977,12.2932
6060,29.1,3.9001,12.9923,12.2924
6090,28.9,3.9001,12.9923,12.2916
6120,28.7,3.9,12.9927,12.2896
6150,28.5,3.9001,12.9987,12.2852
6180,28.5,3.9001,12.9921,12.2835
6210,28.5,3.9001,12.9924,12.282
6240,28.9,3.9002,12.999,12.2796
6270,29.1,3.9002,13.0137,12.2793
6300,29.2,3.9,13.0,12.2911
6330,29.3,3.9002,12.9973,12.2784
6360,28.9,3.9001,12.9985,12.276
6390,28.7,3.9001,12.9987,12.2724
6420,28.6,3.9,12.993,12.2728
6450,28.6,3.9,12.9925,12.2667
6480,28.6,3.9001,12.993,12.2686
6510,28.9,3.9001,12.9922,12.2656
6540,29.3,3.9002,12.9991,12.27
6570,29.4,3.9002,13.004,12.2635
6600,29.2,3.9001,13.0014,12.2609
6630,28.8,3.9003,12.9996,12.2583
6660,28.6,3.9001,12.9931,12.2555
6690,28.6,3.9001,12.9966,12.2537
6720,28.5,3.9,12.9977,12.2526
6750,28.8,3.9002,12.9927,12.2518
6780,29.1,3.9002,12.9924,12.2503
6810,29.3,3.9001,12.9927,12.2497
6840,29.3,3.9002,12.9932,12.2489
6870,28.9,3.9001,12.9994,12.2471
6900,28.7,3.9,12.993,12.2431
6930,28.6,3.9002,12.9929,12.3218
6960,28.5,3.9002,12.994,12.264
6990,28.5,3.9002,12.9936,12.2528
7020,28.9,3.9003,12.9932,12.2383
7050,26.0,3.9,12.9978,12.2369
7080,25.3,3.9,12.9934,12.2347
7110,24.8,3.9002,12.9932,12.2311
7140,24.5,3.9,12.9937,12.2269
7170,24.4,3.9001,12.9986,12.2248
7200,24.2,3.9002,12.9966,12.2222
7230,24.1,3.9002,12.9976,12.2205
7260,24.2,3.9001,12.9936,12.2233
7290,24.5,3.9002,12.9931,12.2208
7320,24.6,3.9003,12.9937,12.219
7350,24.5,3.9002,12.9928,12.216
7380,23.9,3.9001,13.0126,12.2131
7410,23.7,3.9002,12.9931,12.2112
7440,23.6,3.9002,12.9932,12.2109
7470,23.7,3.9,12.9932,12.2081
7500,23.6,3.9002,12.9934,12.2062
7530,23.9,3.9002,12.993,12.2055
7560,25.5,3.9002,12.9933,12.2084
7590,26.8,3.9001,12.9932,12.2055
7620,27.0,3.9001,12.9929,12.2053
7650,26.7,3.9002,12.993,12.2009
7680,27.1,3.9,12.9929,12.1973
7710,27.3,3.9,12.9977,12.1955
7740,27.4,3.9001,12.993,12.1934
7770,27.6,3.9001,12.9936,12.1923
7800,27.9,3.9002,12.9932,12.1914
7830,27.9,3.9,12.9936,12.1921
7860,28.0,3.9,12.9932,12.19
7890,27.6,3.9002,12.9931,12.1865
7920,27.3,3.9001,12.9933,12.1825
7950,27.3,3.9001,12.9932,12.1815
7980,27.2,3.9002,12.9932,12.1804
8010,27.3,3.9003,12.9932,12.1793
8040,27.5,3.9001,13.007,12.1793
8070,27.9,3.9,12.9938,12.179
8100,27.8,3.9003,13.0135,12.1775
8130,27.8,3.9002,13.006,12.1748
8160,27.7,3.9002,12.993,12.1711
8190,27.5,3.9001,12.9929,12.1697
8220,27.5,3.9001,13.013,12.1682
8250,27.5,3.9001,12.9931,12.1806
8280,27.6,3.9003,12.9926,12.1682
8310,27.7,3.9002,12.9932,12.1721
8340,28.1,3.9002,12.9929,12.1678
8370,27.5,3.9001,12.9975,12.1649
8400,27.6,3.9001,12.9933,12.1609
8430,23.8,3.9001,12.9939,12.1581
8460,26.5,3.9,12.9925,12.157
8490,26.8,3.9,12.9924,12.157
8520,27.0,3.9001,12.9965,12.1591
8550,27.3,3.9001,13.0067,12.1551
8580,27.6,3.9001,12.9924,12.1554
8610,27.8,3.9,12.9927,12.1579
8640,27.6,3.9001,12.9929,12.1565
8670,27.4,3.9002,12.9928,12.1461
8700,27.1,3.9001,12.9981,12.1489
8730,27.1,3.9,12.9928,12.1507
8760,27.1,3.9,12.9932,12.1507
8790,27.3,3.9002,12.9928,12.15
8820,27.7,3.9002,12.993,12.1521
8850,28.0,3.9001,12.9926,12.1506
8880,28.3,3.9001,12.9928,12.1703
8910,28.0,3.9,12.9939,12.1393
8940,27.9,3.9,12.9928,12.135
8970,27.8,3.9001,12.9984,12.1296
9000,27.7,3.9002,12.9928,12.1284
9030,27.5,3.9001,12.9979,12.1284
9060,27.8,3.9001,12.9925,12.1269
9090,28.2,3.9001,12.9936,12.1257
9120,28.5,3.9001,12.9962,12.129
9150,28.6,3.9001,13.0024,12.1247
9180,28.3,3.9002,12.9929,12.1211
9210,28.2,3.9002,12.9941,12.1189
9240,28.1,3.9001,12.9957,12.1172
9270,28.0,3.9,12.9919,12.1204
9300,28.1,3.9001,12.9994,12.1663
9330,24.3,3.9002,12.9922,12.1721
9360,24.3,3.9001,12.9988,12.1153
9390,26.7,3.9001,12.9921,12.1111
9420,26.9,3.9001,12.9921,12.11
9450,26.7,3.9,12.9925,12.1064
9480,26.8,3.9,13.0025,12.1052
9510,26.7,3.9,13.0123,12.1066
9540,26.5,3.9001,12.9993,12.1037
9570,26.8,3.9002,13.0121,12.1051
9600,26.8,3.9001,13.0042,12.1094
9630,24.2,3.9,13.0082,12.1178
9660,23.3,3.9001,13.0092,12.1272
9690,23.1,3.9,12.9986,12.106
9720,23.5,3.9002,13.0098,12.0923
9750,25.5,3.9,13.0056,12.093
9780,25.7,3.9002,12.9949,12.0905
9810,25.9,3.9,12.9949,12.0887
