Cycle,Tem,电压(V),电流(A),放电容量(Ah)
0,29.6,3.6501,12.9994,13.5622
30,25.9,3.65,12.9993,13.5422
60,26.0,3.6501,13.0006,13.5318
90,27.9,3.6501,12.9998,13.5317
120,28.3,3.6501,13.0019,13.5274
150,28.6,3.6502,12.9984,13.5206
180,28.6,3.65,13.004,13.5143
210,28.8,3.6502,12.9996,13.5067
240,27.5,3.6502,13.0048,13.4985
270,28.0,3.6501,13.0016,13.4914
300,27.8,3.6501,13.0038,13.4847
330,28.2,3.6501,12.998,13.4789
360,28.2,3.6501,12.9983,13.4731
390,28.2,3.6502,13.0058,13.4673
420,28.4,3.6502,13.0015,13.4626
450,28.9,3.6501,13.0058,13.4584
480,29.2,3.6501,12.9984,13.4535
510,29.8,3.65,12.9996,13.4494
540,29.1,3.65,12.9983,13.4424
570,29.0,3.6501,12.9983,13.4363
600,28.9,3.6501,12.9981,13.4309
630,28.9,3.65,13.003,13.4262
660,29.1,3.6502,12.9981,13.4221
690,29.6,3.65,13.0,13.4192
720,30.0,3.6501,13.002,13.4145
750,29.6,3.6501,12.999,13.4082
780,29.2,3.6502,13.0011,13.4023
810,29.2,3.65,13.0,13.3976
840,29.2,3.6502,13.0014,13.3929
870,29.2,3.6502,12.9992,13.3887
900,29.5,3.6501,13.0012,13.3852
930,29.9,3.6501,13.0001,13.3791
960,29.4,3.6502,12.9989,13.3752
990,29.6,3.6501,13.0043,13.372
1020,29.5,3.6501,13.0036,13.368
1050,29.5,3.6501,13.0008,13.3635
1080,29.6,3.6501,12.9982,13.3599
1110,29.6,3.6502,12.9981,13.3561
1140,29.9,3.6501,13.0008,13.353
1170,30.3,3.65,12.9996,13.3498
1200,30.7,3.65,12.9993,13.3463
1230,30.3,3.6501,13.0011,13.3415
1260,30.2,3.65,13.0,13.3368
1290,30.2,3.65,13.0044,13.3329
1320,30.1,3.6501,13.0021,13.3288
1350,29.6,3.6502,12.9986,13.3237
1380,29.8,3.65,13.0007,13.3205
1410,30.2,3.65,12.9995,13.3178
1440,30.1,3.65,13.0019,13.3142
1470,30.0,3.6501,12.9983,13.3093
1500,29.6,3.6501,13.0024,13.3052
1530,29.6,3.6501,13.0042,13.3015
1560,29.6,3.6502,13.0054,13.2978
1590,29.8,3.6501,12.9998,13.2954
1620,30.2,3.65,12.9983,13.2922
1650,30.5,3.6502,13.0006,13.2902
1680,30.9,3.6502,12.9982,13.2869
1710,30.5,3.6501,13.0033,13.2824
1740,30.3,3.6502,12.9991,13.2788
1770,30.3,3.6501,12.9984,13.2757
1800,30.3,3.6501,13.0025,13.2725
1830,30.5,3.6501,13.0005,13.2698
1860,30.8,3.6502,13.0028,13.2674
1890,30.9,3.65,13.0062,13.2645
1920,30.8,3.65,12.9991,13.2607
1950,30.4,3.6502,12.9981,13.2567
1980,30.3,3.6502,12.9981,13.2535
2010,30.3,3.6501,12.9987,13.2497
2040,30.2,3.65,13.0002,13.2464
2070,30.2,3.65,13.0008,13.2439
2100,30.4,3.6501,13.0013,13.2409
2130,30.4,3.6501,13.0032,13.2384
2160,30.3,3.65,13.0057,13.235
2190,30.2,3.6501,12.9977,13.2314
2220,30.1,3.6501,12.9974,13.2289
2250,30.0,3.6501,13.0,13.2257
2280,30.2,3.6502,12.9996,13.2233
2310,30.4,3.6501,12.9993,13.2211
2340,30.6,3.6501,13.0007,13.2188
2370,30.6,3.6501,13.0008,13.2159
2400,30.3,3.6501,12.9978,13.2125
2430,30.2,3.6501,12.9991,13.2096
2460,30.0,3.6501,12.998,13.2067
2490,29.9,3.6502,12.9975,13.2041
2520,30.0,3.6501,12.9979,13.2016
2550,30.2,3.65,13.0008,13.1991
2580,29.1,3.65,13.0003,13.1949
2610,29.7,3.6501,12.9977,13.1927
2640,29.5,3.6501,12.9977,13.1898
2670,29.3,3.65,12.9997,13.1867
2700,29.2,3.6502,13.0012,13.1842
2730,29.2,3.65,13.0031,13.182
2760,29.5,3.6501,13.0007,13.1803
2790,29.9,3.65,13.0008,13.1787
2820,30.2,3.6501,12.9999,13.1767
2850,30.7,3.6501,12.9978,13.1749
2880,30.1,3.6501,13.0025,13.1715
2910,29.8,3.6501,12.9997,13.169
2940,29.8,3.6501,12.9981,13.1664
2970,29.8,3.65,12.9984,13.1643
3000,30.0,3.65,12.9975,13.1626
3030,30.4,3.6501,13.0026,13.1609
3060,30.9,3.6501,13.0009,13.1599
3090,31.2,3.6501,12.9974,13.158
3120,30.5,3.65,12.9984,13.1541
3150,30.4,3.65,13.0032,13.1516
3180,30.3,3.6502,12.9999,13.149
3210,30.2,3.6501,12.9965,13.1472
3240,30.5,3.6501,12.9968,13.1455
3270,31.0,3.65,12.9993,13.1441
3300,31.1,3.6502,12.9981,13.1416
3330,30.8,3.6501,12.9982,13.1391
3360,30.6,3.6502,13.0101,13.1365
3390,30.5,3.6501,13.0075,13.1344
3420,30.5,3.6502,12.9975,13.1322
3450,30.5,3.6501,12.9986,13.1301
3480,30.7,3.65,12.9979,13.1288
3510,31.1,3.65,12.9978,13.1274
3540,31.5,3.6502,12.9981,13.1257
3570,31.1,3.65,12.998,13.1227
3600,30.7,3.6501,12.9997,13.1201
3630,30.6,3.6502,13.0006,13.1179
3660,30.6,3.6502,12.9985,13.1157
3690,30.6,3.65,12.9981,13.1139
3720,31.0,3.6502,13.0043,13.1127
3750,31.3,3.6502,12.998,13.1113
3780,31.6,3.65,12.9984,13.1092
3810,31.2,3.6501,13.004,13.1065
3840,31.0,3.6501,13.0053,13.1039
3870,31.0,3.6502,13.0079,13.1023
3900,30.9,3.6502,12.9973,13.0998
3930,31.0,3.6502,13.0063,13.0985
3960,31.3,3.6501,13.0016,13.0967
3990,31.6,3.6501,13.0002,13.0949
4020,31.5,3.6502,12.9989,13.0928
4050,31.2,3.6501,13.0008,13.0902
4080,31.2,3.6501,12.9975,13.0883
4110,31.0,3.65,12.9969,13.0862
4140,30.8,3.6502,12.9997,13.084
4170,30.8,3.65,13.0029,13.0825
4200,31.1,3.65,12.9999,13.0812
4230,31.3,3.6502,12.9998,13.0794
4260,31.5,3.65,12.9998,13.0777
4290,31.2,3.6501,12.9971,13.0749
4320,31.0,3.6501,12.999,13.0728
4350,30.8,3.65,12.9985,13.0705
4380,30.6,3.65,12.9999,13.0687
4410,30.7,3.6501,12.9994,13.0668
4440,31.0,3.65,13.0,13.0658
4470,31.3,3.6501,13.0033,13.0644
4500,31.4,3.6501,13.0021,13.0625
4530,31.0,3.6501,13.0087,13.0597
4560,30.8,3.6502,12.9996,13.0578
4590,30.7,3.6501,13.0,13.056
4620,30.6,3.6501,12.9997,13.0542
4650,30.8,3.65,12.9975,13.0532
4680,31.0,3.65,12.9995,13.0521
4710,31.2,3.6501,13.0049,13.0503
4740,30.9,3.65,12.9988,13.0478
4770,30.7,3.6501,13.002,13.0459
4800,30.5,3.6501,12.9977,13.0444
4830,30.4,3.6502,12.9998,13.0427
4860,30.4,3.65,12.9973,13.0408
4890,30.4,3.6501,12.9993,13.0393
4920,30.4,3.6501,12.9971,13.0376
4950,30.2,3.6502,13.0038,13.0357
4980,30.3,3.65,13.0022,13.0343
5010,30.1,3.6502,12.9978,13.0325
5040,30.0,3.65,13.0,13.0311
5070,29.9,3.6502,12.9986,13.0294
5100,29.9,3.6501,13.0012,13.028
5130,30.1,3.6501,12.9994,13.0264
5160,30.4,3.6501,13.0023,13.0256
5190,30.8,3.65,13.0043,13.0242
5220,30.5,3.6502,12.9997,13.0223
5250,30.1,3.6501,12.9976,13.02
5280,30.0,3.6501,13.0,13.0185
5310,29.9,3.6501,13.0013,13.0167
5340,29.8,3.65,13.003,13.0149
5370,30.1,3.6501,13.0014,13.0142
5400,30.4,3.6501,13.0002,13.0132
5430,30.5,3.6501,13.0001,13.0116
5460,30.0,3.6502,12.9975,13.0094
5490,29.8,3.6501,13.0015,13.0075
5520,29.6,3.6501,12.9978,13.0056
5550,29.6,3.65,13.0003,13.0041
5580,29.7,3.6501,13.0009,13.0027
5610,30.0,3.6501,13.0008,13.0025
5640,30.2,3.6501,12.9981,13.001
5670,30.5,3.6502,12.9975,13.0001
5700,30.6,3.6502,13.0,12.9987
5730,30.1,3.6501,13.0001,12.9964
5760,29.9,3.65,12.9986,12.9945
5790,29.8,3.65,13.0002,12.993
5820,29.8,3.6501,12.9997,12.9919
5850,30.0,3.6502,13.0028,12.9909
5880,30.5,3.65,12.9975,12.9903
5910,30.7,3.6501,12.9975,12.9891
5940,30.6,3.6501,12.998,12.9874
5970,30.0,3.6501,13.0004,12.9852
6000,30.0,3.6501,12.9976,12.9837
6030,29.9,3.65,13.0003,12.9822
6060,29.9,3.6501,12.9995,12.9808
6090,30.1,3.6501,12.9975,12.9802
6120,30.4,3.6502,12.9983,12.9791
6150,30.5,3.6501,12.998,12.9781
6180,30.2,3.6501,13.0002,12.9763
6210,30.0,3.6501,12.9997,12.9747
6240,29.9,3.6501,12.9999,12.9733
6270,29.8,3.6502,13.0006,12.9719
6300,29.8,3.6501,12.9981,12.9704
6330,30.2,3.6501,13.0008,12.9698
6360,30.5,3.6501,13.0131,12.9691
6390,30.5,3.6502,12.9981,12.9677
6420,30.4,3.6502,12.9973,12.9662
6450,30.1,3.6502,12.9972,12.9642
6480,30.1,3.6501,12.9984,12.9629
6510,30.0,3.6502,13.0016,12.961
6540,30.0,3.6501,12.9971,12.9603
6570,30.2,3.6501,12.9986,12.9594
6600,30.4,3.6501,13.0002,12.9582
6630,30.2,3.6501,13.0002,12.9568
6660,29.9,3.6502,12.9975,12.9545
6690,29.8,3.6501,13.0141,12.9531
6720,29.6,3.6501,13.009,12.9517
6750,29.6,3.65,12.9978,12.9501
6780,29.6,3.6502,12.9975,12.9493
6810,29.8,3.6501,12.9971,12.9487
6840,29.8,3.6501,12.9971,12.9475
6870,29.6,3.6502,12.9981,12.946
6900,29.5,3.6501,12.9972,12.9445
6930,29.5,3.65,12.9997,12.943
6960,29.4,3.6502,12.9971,12.9419
6990,29.4,3.6501,12.9997,12.9404
7020,29.4,3.6502,13.0009,12.9394
7050,29.5,3.6501,12.9998,12.9384
7080,29.6,3.6502,13.0014,12.9377
7110,29.6,3.65,13.0019,12.9362
7140,29.5,3.6501,12.9969,12.9347
7170,29.4,3.6502,12.9974,12.9333
7200,29.3,3.6502,13.0019,12.9321
7230,29.3,3.6501,12.9997,12.9311
7260,29.5,3.6501,13.0015,12.9304
7290,29.8,3.65,13.0014,12.9299
7320,30.0,3.6501,12.9977,12.9289
7350,30.4,3.6501,13.0043,12.9282
7380,29.9,3.6501,13.0,12.9259
7410,29.7,3.65,13.0015,12.9248
7440,29.7,3.6502,13.0064,12.9237
7470,29.5,3.6501,12.9987,12.9223
7500,29.8,3.6502,12.9983,12.9216
7530,30.0,3.6501,12.9992,12.9206
7560,30.3,3.6501,13.0092,12.9199
7590,30.8,3.65,12.9984,12.9189
7620,30.2,3.6501,13.0,12.917
7650,30.0,3.6501,13.0039,12.9154
7680,29.9,3.6501,13.0004,12.914
7710,29.8,3.6501,12.9999,12.913
7740,30.0,3.6501,13.0041,12.9122
7770,30.1,3.6501,13.0018,12.9117
7800,30.3,3.6501,13.0003,12.911
7830,30.4,3.6501,13.0039,12.9095
7860,30.0,3.6501,13.0013,12.9076
7890,29.8,3.6501,12.9978,12.9061
7920,29.7,3.6501,12.9987,12.9049
7950,29.7,3.6501,12.9987,12.9042
7980,29.9,3.6501,13.0053,12.9032
8010,30.2,3.6502,12.9981,12.9025
8040,30.2,3.65,13.0003,12.9015
8070,30.5,3.6501,12.998,12.9004
8100,30.0,3.6501,12.9977,12.8989
8130,29.9,3.6501,12.9988,12.8973
8160,29.8,3.65,13.0039,12.8962
8190,29.8,3.6501,12.9989,12.8951
8220,30.0,3.6501,13.0028,12.8944
8250,30.2,3.6501,12.9979,12.8933
8280,30.4,3.65,12.9978,12.8923
8310,30.4,3.6501,13.0052,12.8912
8340,30.1,3.6501,13.0049,12.8898
8370,29.9,3.65,13.0066,12.8883
8400,29.8,3.6501,13.0028,12.8872
8430,29.7,3.6501,13.0028,12.886
8460,29.9,3.6501,12.9988,12.885
8490,30.1,3.6502,13.0002,12.8843
8520,30.1,3.65,13.0066,12.8836
8550,30.5,3.6502,13.0049,12.8827
8580,30.1,3.6501,13.001,12.8812
8610,30.0,3.6501,13.0026,12.88
8640,29.9,3.6502,12.9983,12.8786
8670,29.8,3.6501,12.998,12.8775
8700,29.8,3.6501,13.0002,12.8767
8730,30.1,3.65,13.0006,12.8761
8760,30.3,3.6501,12.9996,12.8754
8790,30.9,3.6501,12.9988,12.8751
8820,30.3,3.6501,13.0029,12.8733
8850,30.1,3.6502,13.0004,12.8719
8880,30.0,3.6502,13.0056,12.8708
8910,29.9,3.6502,13.001,12.8697
8940,30.1,3.6501,12.9999,12.869
8970,30.5,3.6501,12.9981,12.8687
9000,30.8,3.65,13.0005,12.8682
9030,30.8,3.65,13.0007,12.8666
9060,30.4,3.65,12.9993,12.8651
9090,30.3,3.6501,12.999,12.8637
9120,30.2,3.65,12.9987,12.8627
9150,30.2,3.6501,12.9974,12.8615
9180,30.4,3.6502,13.0027,12.861
9210,30.6,3.6501,13.0011,12.8602
9240,30.8,3.6502,12.9991,12.8591
9270,30.5,3.6501,12.9994,12.8576
9300,30.3,3.6501,13.0006,12.8565
9330,30.2,3.6501,13.0018,12.8553
9360,30.1,3.65,13.0078,12.8539
9390,30.1,3.6502,13.0021,12.8532
9420,30.3,3.6501,12.9991,12.8524
9450,30.6,3.6501,13.0002,12.8517
9480,30.5,3.65,13.0042,12.8507
9510,30.4,3.6501,12.9999,12.8495
9540,30.2,3.6502,13.002,12.8481
9570,30.1,3.65,13.0014,12.8469
9600,30.0,3.65,12.9989,12.8455
9630,30.0,3.65,13.0011,12.8447
9660,30.4,3.6502,13.0064,12.8441
9690,30.7,3.6501,13.0035,12.8438
9720,30.9,3.6501,12.9991,12.8431
9750,30.6,3.6502,13.0007,12.8415
9780,30.4,3.6502,12.9978,12.84
9810,30.3,3.6501,13.0002,12.839
9840,30.1,3.6501,13.0004,12.8377
9870,30.1,3.6501,12.9992,12.8369
9900,30.4,3.65,13.0007,12.8363
9930,30.7,3.6502,12.9988,12.8357
9960,31.0,3.6501,12.9981,12.8354
9990,31.1,3.65,12.9978,12.834
10020,30.7,3.6501,13.0031,12.8321
10050,30.4,3.6501,13.0012,12.8306
10080,30.2,3.6501,12.9985,12.8298
10110,30.2,3.65,13.0,12.8287
10140,30.5,3.6502,12.9995,12.8278
10170,30.8,3.6501,12.9985,12.8276
10200,31.1,3.6501,12.9992,12.827
10230,30.9,3.6501,12.9988,12.8253
10260,30.5,3.6501,13.0016,12.8235
10290,30.3,3.65,13.0047,12.8228
10320,30.1,3.65,13.0018,12.8217
10350,30.1,3.65,13.0034,12.8206
10380,30.4,3.6502,13.0007,12.82
10410,30.8,3.6501,13.0018,12.8197
10440,31.1,3.6502,13.0028,12.819
10470,31.4,3.6501,13.0008,12.8182
10500,31.0,3.6502,13.0041,12.8164
10530,31.1,3.6501,13.0,12.8146
10560,31.4,3.6501,13.0004,12.8209
10590,31.0,3.6502,13.0022,12.8187
10620,30.9,3.6501,13.0016,12.8166
10650,30.8,3.6501,13.0022,12.8151
10680,30.7,3.6501,13.0041,12.814
10710,30.8,3.6501,13.0007,12.8126
10740,31.2,3.6501,12.9978,12.8121
10770,31.4,3.6501,12.998,12.8115
10800,31.4,3.6501,12.9977,12.8096
10830,31.1,3.65,12.9989,12.8081
10860,30.8,3.6501,12.9984,12.8071
10890,30.7,3.6501,12.9975,12.806
10920,30.7,3.6501,13.0028,12.8044
10950,30.7,3.6501,13.0008,12.8036
10980,30.8,3.65,12.9971,12.8026
11010,31.1,3.6501,12.9983,12.8022
11040,31.0,3.6501,13.002,12.8007
11070,30.8,3.6501,13.0012,12.7992
11100,30.6,3.6501,12.9968,12.7978
11130,30.5,3.6501,12.9987,12.7968
11160,30.4,3.6501,13.0015,12.7957
11190,30.4,3.6501,13.004,12.7946
11220,30.7,3.6501,12.997,12.7941
11250,31.0,3.65,12.9964,12.7937
11280,30.5,3.6501,12.9984,12.7919
11310,30.5,3.65,12.9975,12.7907
11340,30.2,3.6501,13.0037,12.7892
11370,30.2,3.65,13.003,12.7881
11400,30.0,3.6501,13.0,12.787
11430,30.3,3.6501,12.9989,12.7864
11460,30.5,3.65,12.9999,12.7858
11490,30.6,3.6501,12.9962,12.7849
11520,29.8,3.65,12.9986,12.783
11550,29.9,3.6501,13.0008,12.782
11580,29.6,3.6501,12.9986,12.7804
11610,29.5,3.65,12.9968,12.7793
11640,29.4,3.6501,12.9976,12.7782
11670,29.6,3.6501,12.9969,12.7776
11700,30.0,3.6501,13.0045,12.7773
11730,30.0,3.6502,12.9978,12.7762
11760,30.2,3.6501,12.9992,12.776
11790,29.9,3.65,12.9994,12.7744
11820,29.7,3.6501,12.9968,12.7729
11850,29.6,3.6501,13.0013,12.7718
11880,29.4,3.6502,12.9998,12.7707
11910,29.6,3.6502,12.9996,12.77
11940,30.0,3.6501,12.9987,12.7697
11970,30.2,3.65,12.9965,12.7691
12000,30.5,3.6501,12.9981,12.7687
12030,30.3,3.6501,13.0002,12.7671
12060,30.1,3.65,12.9968,12.7657
12090,29.9,3.6501,12.9987,12.7646
12120,29.8,3.6501,12.9984,12.764
12150,30.0,3.6501,12.9981,12.7632
12180,30.2,3.6501,12.9983,12.7626
12210,30.5,3.65,12.9982,12.7623
12240,30.8,3.65,12.9996,12.7616
12270,30.4,3.65,12.9982,12.7601
12300,30.3,3.6502,13.0076,12.7589
12330,30.3,3.6501,12.9962,12.7574
12360,30.2,3.65,13.0007,12.7565
12390,30.2,3.6501,12.9985,12.7558
12420,30.5,3.6502,13.0035,12.7547
12450,30.7,3.6501,12.9982,12.7543
12480,31.1,3.65,12.9966,12.7542
12510,30.8,3.6502,12.999,12.7527
12540,30.6,3.65,12.9978,12.7511
12570,30.5,3.6501,12.9959,12.75
12600,30.4,3.65,12.9958,12.749
12630,30.4,3.6501,12.9975,12.7478
12660,30.6,3.6501,12.9959,12.7471
12690,30.8,3.6501,13.01,12.7465
12720,30.3,3.65,12.9958,12.7449
12750,30.1,3.6501,12.9977,12.7439
12780,29.9,3.6501,12.9957,12.7427
12810,29.9,3.65,12.9974,12.7416
12840,29.8,3.6501,12.9981,12.7408
12870,29.9,3.65,12.9988,12.7398
12900,30.4,3.65,12.9996,12.7391
12930,30.3,3.6501,12.9978,12.7385
12960,30.4,3.6501,12.9994,12.7374
12990,30.2,3.6501,13.0068,12.7363
13020,29.9,3.65,13.0001,12.7348
13050,29.7,3.6501,12.9973,12.7341
13080,29.6,3.65,12.998,12.7331
13110,29.8,3.65,13.0007,12.7325
13140,30.0,3.6501,12.9962,12.7318
13170,30.3,3.6501,12.9986,12.7315
13200,30.6,3.6501,12.9994,12.7308
13230,30.3,3.6501,12.9978,12.7293
13260,30.1,3.6502,12.9961,12.7278
13290,29.9,3.6501,13.0009,12.7267
13320,29.9,3.65,12.996,12.7259
13350,29.9,3.65,13.0031,12.7253
13380,30.1,3.6501,13.0003,12.7245
13410,30.3,3.6502,13.0012,12.7238
13440,30.4,3.6502,12.9969,12.7232
13470,30.1,3.65,13.0,12.7217
13500,29.9,3.65,12.996,12.7205
13530,29.7,3.6501,13.0046,12.7194
13560,29.6,3.6501,13.0028,12.7187
13590,29.6,3.6501,12.9961,12.718
13620,29.9,3.6501,12.9962,12.7175
13650,30.2,3.6501,12.9963,12.717
13680,30.3,3.6501,12.9979,12.7164
13710,30.0,3.65,13.0083,12.7148
13740,29.7,3.6501,12.997,12.7137
13770,29.7,3.6501,12.9984,12.7129
13800,29.6,3.6501,12.9972,12.7118
13830,29.7,3.6501,12.999,12.7111
13860,30.0,3.65,12.9978,12.7105
13890,30.3,3.6501,12.9971,12.7098
13920,30.5,3.6501,12.9961,12.7095
13950,30.1,3.6502,13.0057,12.7078
13980,29.9,3.6501,12.9986,12.7067
14010,29.8,3.6502,12.9973,12.706
14040,29.8,3.6501,13.0006,12.7049
14070,29.7,3.6501,12.9999,12.7038
14100,30.1,3.6502,12.9988,12.7036
