date,Tem,电压(V),电流(A),放电容量(Ah)
4440,31.2,3.9002,13.0128,12.2761
4470,31.1,3.9002,13.0073,12.2743
4500,30.9,3.9001,13.0076,12.2721
4530,30.9,3.9001,13.008,12.2703
4560,31.0,3.9002,13.0078,12.2692
4590,31.2,3.9001,13.0078,12.2671
4620,31.3,3.9,13.0147,12.2661
4650,31.6,3.9001,13.0081,12.2635
4680,31.1,3.9001,13.0085,12.259
4710,31.0,3.9001,13.0108,12.2565
4740,30.8,3.9002,13.013,12.2535
4770,30.7,3.9,13.0098,12.2513
4800,30.7,3.9001,13.0077,12.2523
4830,30.9,3.9,13.0076,12.2506
4860,31.3,3.9002,13.0078,12.2494
4890,31.6,3.9002,13.0077,12.2465
4920,31.0,3.9002,13.0075,12.2417
4950,30.8,3.9002,13.0082,12.2386
4980,30.7,3.9,13.0073,12.2375
5010,30.6,3.9,13.0076,12.2345
5040,30.7,3.9,13.0142,12.2338
5070,31.0,3.9001,13.0077,12.2332
5100,31.0,3.9002,13.0074,12.2324
5130,31.1,3.9,13.0081,12.2299
5160,30.8,3.9001,13.0094,12.2262
5190,30.7,3.9,13.0109,12.2225
5220,30.5,3.9001,13.0098,12.2199
5250,30.5,3.9002,13.0077,12.218
5280,30.4,3.9,13.0079,12.2158
5310,30.4,3.9002,13.0073,12.2155
5340,30.4,3.9002,13.0074,12.2134
5370,30.3,3.9,13.0051,12.2112
5400,30.4,3.9001,13.0074,12.2101
5430,30.1,3.9001,13.0078,12.2072
5460,29.9,3.9001,13.0074,12.2049
5490,29.8,3.9001,13.0075,12.2031
5520,29.7,3.9002,13.0077,12.2009
5550,30.0,3.9001,13.0077,12.201
5580,30.2,3.9,13.0075,12.1997
5610,30.7,3.9001,13.0076,12.199
5640,30.9,3.9,13.0075,12.1968
5670,30.3,3.9,13.0134,12.1938
5700,30.1,3.9001,13.0046,12.1915
5730,30.0,3.9,13.0075,12.1889
5760,29.8,3.9,13.0074,12.186
5790,29.7,3.9001,13.0076,12.1861
5820,30.0,3.9,13.0074,12.1848
5850,30.4,3.9002,13.0139,12.1845
5880,30.5,3.9001,13.0074,12.1815
5910,30.0,3.9001,13.0076,12.1814
5940,29.8,3.9001,13.0075,12.1759
5970,29.6,3.9,13.0078,12.1737
6000,29.6,3.9001,13.0119,12.1719
6030,29.5,3.9,13.0056,12.1712
6060,29.8,3.9,13.0079,12.171
6090,30.0,3.9002,13.0078,12.1692
6120,30.4,3.9001,13.0138,12.1683
6150,30.9,3.9,13.0076,12.1679
6180,30.2,3.9,13.0121,12.1635
6210,30.0,3.9,13.0128,12.1613
6240,29.8,3.9001,13.0075,12.1587
6270,29.8,3.9002,13.0075,12.1576
6300,29.8,3.9001,13.0077,12.1566
6330,30.2,3.9001,13.0075,12.157
6360,30.5,3.9,13.0135,12.1557
6390,30.7,3.9,13.0076,12.1547
6420,30.4,3.9002,13.0089,12.1516
6450,30.0,3.9,13.0101,12.1475
6480,30.0,3.9,13.0075,12.1464
6510,29.9,3.9002,13.011,12.1454
6540,29.9,3.9,13.0076,12.1454
6570,30.0,3.9002,13.0148,12.1437
6600,30.4,3.9,13.0077,12.1434
6630,30.5,3.9002,13.008,12.1417
6660,30.3,3.9002,13.0077,12.1405
6690,30.0,3.9001,13.0039,12.1371
6720,29.8,3.9001,13.0046,12.1353
6750,29.9,3.9002,13.0077,12.1331
6780,29.9,3.9001,13.0075,12.1316
6810,30.0,3.9002,13.0076,12.132
6840,30.4,3.9002,13.0077,12.1314
6870,30.4,3.9,13.0073,12.1295
6900,30.7,3.9001,13.0083,12.1286
6930,30.3,3.9001,13.0089,12.1259
6960,30.0,3.9001,13.0071,12.1233
