Cycle,Tem,电压(V),电流(A),放电容量(Ah)
4500,30.7,3.6501,13.0063,12.9201
4530,30.6,3.65,13.0086,12.9191
4560,30.8,3.65,13.0104,12.9181
4590,31.0,3.65,13.0065,12.9164
4620,31.1,3.6501,13.0109,12.9142
4650,30.8,3.65,13.0067,12.9116
4680,30.7,3.65,13.0064,12.9083
4710,30.5,3.6502,13.0058,12.9064
4740,30.5,3.65,13.0084,12.9043
4770,30.4,3.65,13.0091,12.9021
4800,30.4,3.65,13.0118,12.9021
4830,30.5,3.6501,13.008,12.8979
4860,30.4,3.65,13.0066,12.8968
4890,30.3,3.65,13.0114,12.8946
4920,30.1,3.65,13.0062,12.9
4950,29.9,3.6501,13.0066,12.8896
4980,29.9,3.65,13.0075,12.8874
5010,30.0,3.6501,13.0072,12.8928
5040,30.2,3.6502,13.0014,12.8848
5070,30.7,3.6501,13.0067,12.8903
5100,30.8,3.65,13.0075,12.8816
5130,30.3,3.6501,13.0084,12.8786
5160,30.0,3.65,13.0099,12.8765
5190,30.0,3.6501,13.0073,12.8738
5220,29.8,3.6501,13.0064,12.8717
5250,29.9,3.6501,13.0073,12.8709
5280,30.2,3.65,13.0109,12.8699
5310,30.6,3.65,13.0088,12.8695
5340,30.1,3.6501,13.01,12.8655
5370,29.9,3.6501,13.0019,12.8638
5400,29.6,3.6501,13.0071,12.867
5430,29.6,3.6501,13.0064,12.8593
5460,29.5,3.6501,13.0063,12.8579
5490,29.8,3.6501,13.0087,12.8568
5520,30.1,3.65,13.0086,12.8604
5550,30.5,3.6501,13.007,12.8537
5580,30.8,3.65,13.0104,12.8522
5610,30.1,3.65,13.0067,12.8489
5640,30.0,3.65,13.0073,12.8464
5670,29.9,3.65,13.0087,12.8445
5700,29.8,3.6501,13.0013,12.8441
5730,30.0,3.65,13.0114,12.842
5760,30.4,3.6501,13.0093,12.841
5790,30.7,3.65,13.0084,12.8401
5820,30.6,3.6501,13.0065,12.841
5850,30.0,3.6501,13.0083,12.8334
5880,29.9,3.6501,13.0067,12.8315
5910,29.8,3.65,13.0097,12.83
5940,29.9,3.6501,13.0104,12.8286
5970,30.1,3.6501,13.0089,12.8277
6000,30.4,3.6501,13.0078,12.8263
6030,30.5,3.6502,13.0009,12.8241
6060,30.1,3.65,13.0063,12.8222
6090,29.9,3.65,13.009,12.8193
6120,29.8,3.65,13.0089,12.8175
6150,29.8,3.6501,13.0067,12.8158
6180,30.0,3.65,13.0108,12.8151
6210,30.4,3.6501,13.0098,12.8137
6240,30.5,3.6501,13.0066,12.8122
6270,30.7,3.6501,13.0133,12.8107
6300,30.2,3.6501,13.0066,12.8078
6330,30.0,3.65,13.0147,12.8056
6360,30.0,3.6502,13.0046,12.8031
6390,30.0,3.6501,13.0136,12.802
6420,30.1,3.6501,13.009,12.8013
6450,30.4,3.6501,13.0102,12.8003
6480,30.2,3.65,13.014,12.7976
6510,30.1,3.65,13.0077,12.7947
6540,29.8,3.65,13.0124,12.7925
6570,29.7,3.65,13.0064,12.7904
6600,29.6,3.6501,13.0102,12.7885
6630,29.5,3.65,13.0066,12.7904
6660,29.7,3.6501,13.0069,12.7864
6690,29.8,3.6501,13.0041,12.7849
6720,29.8,3.6501,13.0021,12.783
6750,29.6,3.6501,13.0103,12.7809
6780,29.5,3.6501,13.0073,12.7787
6810,29.5,3.6501,13.0093,12.7768
6840,29.4,3.6501,13.0062,12.7746
6870,29.4,3.6501,13.0099,12.7731
6900,29.5,3.6501,13.007,12.7721
6930,29.6,3.6501,13.006,12.7706
6960,29.6,3.6501,13.0066,12.7684
6990,29.5,3.65,13.0081,12.7658
7020,29.4,3.65,13.0066,12.7648
7050,29.3,3.6501,13.0084,12.7627
7080,29.3,3.65,13.0066,12.7615
7110,29.5,3.6501,13.0069,12.7605
7140,29.7,3.65,13.0108,12.7594
7170,30.0,3.6501,13.0098,12.7581
7200,30.4,3.6501,13.0089,12.7563
7230,29.9,3.6501,13.013,12.7537
7260,29.7,3.65,13.0083,12.7515
7290,29.7,3.6501,13.0068,12.7497
7320,29.6,3.65,13.0111,12.7483
7350,29.8,3.6501,13.0071,12.7472
7380,30.1,3.6501,13.0011,12.7466
7410,30.3,3.65,13.0077,12.7456
7440,30.8,3.65,13.0064,12.7431
7470,30.0,3.65,13.0064,12.7402
7500,29.9,3.65,13.0094,12.738
7530,29.7,3.65,13.0065,12.7365
7560,29.8,3.65,13.0119,12.7358
7590,29.9,3.6501,13.008,12.7337
7620,30.2,3.65,13.0089,12.7326
7650,30.4,3.6501,13.0117,12.7316
7680,30.1,3.65,13.0073,12.7286
7710,29.9,3.6501,13.001,12.7264
7740,29.8,3.65,13.0064,12.7242
7770,29.7,3.65,13.0067,12.7227
7800,29.8,3.6501,13.0074,12.7217
7830,30.1,3.65,13.0065,12.7203
7860,30.2,3.6501,13.0064,12.7189
7890,30.3,3.65,13.0091,12.7174
7920,30.0,3.6501,13.0143,12.7148
7950,29.9,3.65,13.0062,12.713
7980,29.8,3.65,13.0111,12.7126
8010,29.9,3.65,13.0088,12.7213
8040,30.0,3.6501,13.0017,12.7104
8070,30.2,3.65,13.013,12.7071
8100,30.3,3.65,13.0114,12.7056
8130,30.5,3.6501,13.0073,12.7096
8160,30.1,3.65,13.0087,12.7006
8190,30.0,3.65,13.0065,12.6992
8220,29.9,3.6501,13.0095,12.6974
8250,29.8,3.65,13.0105,12.6959
8280,29.9,3.6501,13.0091,12.6949
8310,30.1,3.6501,13.0069,12.6934
8340,30.1,3.65,13.0067,12.692
8370,30.5,3.6501,13.0012,12.6906
8400,30.1,3.6501,13.0116,12.6877
8430,29.9,3.6501,13.0094,12.6851
8460,29.8,3.65,13.0079,12.6835
8490,29.8,3.6501,13.0107,12.682
8520,29.8,3.6501,13.0064,12.6817
8550,30.1,3.6501,13.011,12.68
8580,30.4,3.6501,13.0065,12.6859
8610,30.7,3.6501,13.0116,12.6821
8640,30.3,3.6501,13.0065,12.6736
8670,30.1,3.65,13.0142,12.6724
8700,29.9,3.6502,13.0044,12.6707
8730,30.0,3.65,13.0057,12.6695
8760,30.3,3.65,13.0079,12.6685
8790,30.7,3.6501,13.0055,12.6672
8820,30.9,3.6501,13.0061,12.6665
8850,30.6,3.65,13.0142,12.6628
8880,30.3,3.6501,13.0068,12.6613
8910,30.2,3.65,13.0068,12.6649
8940,30.2,3.65,13.006,12.6636
8970,30.3,3.65,13.0058,12.6615
9000,30.6,3.65,13.0088,12.6582
9030,30.7,3.6502,13.002,12.6545
9060,30.7,3.65,13.0056,12.6516
9090,30.3,3.65,13.012,12.6541
9120,30.3,3.65,13.0127,12.6476
9150,30.2,3.65,13.0066,12.6457
9180,30.1,3.65,13.006,12.6439
9210,30.2,3.6501,13.01,12.6425
9240,30.5,3.65,13.0062,12.6417
9270,30.6,3.65,13.0081,12.6398
9300,30.5,3.6501,13.0101,12.6381
9330,30.3,3.6501,13.0102,12.6355
9360,30.2,3.6501,13.0122,12.6333
9390,30.1,3.6501,13.0085,12.6315
