Cycle,Tem,电压(V),电流(A),放电容量(Ah)
0,29.1,3.9,13.0006,13.0867
30,28.7,3.9,13.0037,13.0206
60,28.6,3.9,13.0132,13.0145
90,28.6,3.9001,13.0106,12.9634
120,28.9,3.9001,13.0015,12.9473
150,29.3,3.9002,13.002,12.9285
180,26.5,3.9,13.0025,12.9635
210,26.1,3.9002,13.0019,12.9198
240,25.8,3.9,13.0111,12.9044
270,28.1,3.9002,13.0024,12.8754
300,28.5,3.9001,13.0117,12.8652
330,28.5,3.9002,13.002,12.8572
360,28.7,3.9003,13.0081,12.8658
390,27.4,3.9001,13.001,12.8448
420,27.3,3.9,13.0026,12.8479
450,27.2,3.9001,13.0035,12.8316
480,27.9,3.9,13.0017,12.8229
510,28.2,3.9,13.0021,12.8132
540,28.2,3.9,13.0092,12.8327
570,28.2,3.9001,13.0046,12.8309
600,28.3,3.9002,13.0127,12.8191
630,28.8,3.9,13.002,12.8163
660,29.1,3.9,13.0015,12.843
690,29.8,3.9,13.0016,12.8174
720,29.3,3.9001,13.0011,12.8738
750,29.1,3.9002,13.0029,12.8398
780,29,3.9002,13.0019,12.8011
810,28.9,3.9002,13.002,12.7743
840,29,3.9002,13.0023,12.7616
870,29.4,3.9002,13.0021,12.754
900,29.9,3.9001,13.0022,12.7623
930,29.9,3.9,13.0141,12.7517
960,29.5,3.9002,13.0017,12.7438
990,29.2,3.9002,13.0015,12.728
1020,29.2,3.9002,13.0025,12.7323
1050,29.2,3.9,13.0013,12.7164
1080,29.2,3.9002,13.0016,12.7202
1110,29.5,3.9001,13.0032,12.7311
1140,30,3.9001,13.0019,12.7101
1170,29.4,3.9002,13.0016,12.7044
1200,29.6,3.9002,13.0017,12.6998
1230,29.6,3.9001,13.0015,12.6925
1260,29.5,3.9001,13.0104,12.6895
1290,29.6,3.9002,13.0016,12.6862
1320,29.6,3.9001,13.0018,12.6974
1350,29.9,3.9002,13.0091,12.7061
1380,30.3,3.9,13.0078,12.6942
1410,30.3,3.9,13.0025,12.6913
1440,30.4,3.9002,13.0103,12.6823
1470,30.2,3.9001,13.0017,12.6769
1500,30.1,3.9001,13.0015,12.6733
1530,30.2,3.9002,13.0022,12.6847
1560,29.8,3.9002,13.0015,12.6669
1590,29.8,3.9002,13.0017,12.6449
1620,30,3.9002,13.0017,12.6359
1650,30.3,3.9001,13.0015,12.6341
1680,30.3,3.9001,13.0014,12.6392
1710,29.9,3.9001,13.0015,12.6482
1740,29.7,3.9001,13.0014,12.6579
1770,29.5,3.9001,13.0017,12.6236
1800,29.6,3.9001,13.0017,12.6146
1830,29.9,3.9001,13.0149,12.6113
1860,30.2,3.9001,13.0015,12.6044
1890,30.5,3.9002,13.0016,12.6022
1920,31,3.9001,13.0101,12.6098
1950,30.5,3.9002,13.0015,12.6126
1980,30.2,3.9002,13.0071,12.6075
2010,30.2,3.9002,13.0044,12.5985
2040,30.2,3.9,13.0015,12.5924
2070,30.4,3.9002,13.0015,12.5838
2100,30.7,3.9002,13.0123,12.5796
2130,31,3.9002,13.0082,12.5792
2160,31,3.9,13.0013,12.5714
2190,30.6,3.9,13.0013,12.5706
2220,30.3,3.9002,13.003,12.5688
2250,30.4,3.9001,13.0051,12.5655
2280,30.4,3.9002,13.0012,12.5569
2310,30.3,3.9002,13.0049,12.5663
2340,30.3,3.9001,13.0014,12.5496
2370,30.4,3.9001,13.0118,12.5466
2400,30.5,3.9002,13.0111,12.5429
2430,30.2,3.9001,13.0083,12.544
2460,30.1,3.9002,13.0015,12.5339
2490,30.1,3.9,13.0023,12.5299
2520,30,3.9001,13.0018,12.5289
2550,30.2,3.9002,13.0016,12.5235
2580,30.4,3.9001,13.0031,12.5213
2610,30.6,3.9001,13.0016,12.5192
2640,30.6,3.9001,13.0081,12.517
2670,30.4,3.9001,13.0016,12.5109
2700,30.2,3.9002,13.001,12.5073
2730,30,3.9001,13.0146,12.5038
2760,29.9,3.9001,13.0015,12.5031
2790,29.9,3.9001,13.0016,12.4991
2820,30.2,3.9,13.0016,12.4973
2850,29.7,3.9001,13.0022,12.4907
2880,29.4,3.9002,13.0026,12.4892
2910,29.5,3.9,13.0023,12.4864
2940,29.2,3.9001,13.0097,12.4813
2970,29.1,3.9001,13.0082,12.4788
3000,29.1,3.9002,13.0025,12.4759
3030,29.2,3.9,13.0026,12.4755
3060,29.6,3.9001,13.0026,12.4762
3090,29.9,3.9002,13.0017,12.4747
3120,30.3,3.9,13.0045,12.4896
3150,30.7,3.9,13.0016,12.4842
3180,30.1,3.9001,13.0099,12.4662
3210,29.8,3.9001,13.0023,12.4611
3240,29.9,3.9002,13.0118,12.4585
3270,29.8,3.9002,13.0016,12.4553
3300,30,3.9002,13.0127,12.455
3330,30.3,3.9001,13.0025,12.455
3360,30.7,3.9001,13.0013,12.4533
3390,31.3,3.9001,13.0008,12.4497
3420,30.6,3.9,13.0091,12.4663
3450,30.4,3.9002,13.0023,12.4598
3480,30.2,3.9002,13.0135,12.4431
3510,30.2,3.9,13.0016,12.4384
3540,30.4,3.9002,13.0019,12.4375
3570,30.7,3.9,13.0022,12.4376
3600,31.1,3.9001,13.002,12.4387
3630,31,3.9002,13.0045,12.4308
3660,30.8,3.9001,13.0079,12.4279
3690,30.6,3.9,13.0016,12.4236
3720,30.5,3.9001,13.0062,12.4243
3750,30.4,3.9,13.0069,12.4179
3780,30.5,3.9001,13.0014,12.4164
3810,30.7,3.9002,13.0017,12.4147
3840,31.1,3.9001,13.0019,12.4136
3870,31.5,3.9002,13.0021,12.4129
3900,31.2,3.9002,13.0022,12.4136
3930,30.7,3.9001,13.0023,12.4066
3960,30.7,3.9,13.0027,12.4052
3990,30.6,3.9001,13.0016,12.4012
4020,30.6,3.9,13.0049,12.3965
4050,30.8,3.9001,13.0038,12.4008
4080,31.2,3.9002,13.0027,12.3973
4110,31.4,3.9002,13.0022,12.3962
4140,31.3,3.9001,13.0023,12.3977
4170,31.1,3.9001,13.0017,12.3959
4200,31,3.9001,13.002,12.4945
4230,30.9,3.9001,13.0014,12.5129
4260,30.9,3.9002,13.0015,12.394
4290,31.1,3.9,13.0016,12.3941
4320,31.4,3.9,13.0016,12.3904
4350,31.6,3.9002,13.0098,12.3926
4380,31.4,3.9001,13.001,12.3837
4410,31.2,3.9001,13.0013,12.3803
4440,31.1,3.9001,13.0017,12.377
4470,31,3.9,13.0015,12.3748
4500,30.8,3.9002,13.0015,12.3708
4530,30.9,3.9002,13.0017,12.369
4560,31.1,3.9001,13.0017,12.3661
4590,31.3,3.9001,13.0016,12.3669
4620,31.5,3.9001,13.0013,12.3664
4650,31.2,3.9,13.0018,12.3628
4680,31,3.9002,13.0014,12.3597
4710,30.8,3.9001,13.0013,12.3594
4740,30.7,3.9001,13.0015,12.3597
4770,30.6,3.9001,13.0014,12.3506
4800,30.9,3.9002,13.0014,12.3521
4830,31.2,3.9001,13.0013,12.3499
4860,31.5,3.9002,13.0092,12.3478
4890,31.1,3.9001,13.0012,12.3453
4920,30.8,3.9,13.0015,12.3432
4950,30.7,3.9002,13.0013,12.3391
4980,30.6,3.9002,13.0013,12.3384
5010,30.6,3.9002,13.0013,12.3392
5040,30.8,3.9001,13.001,12.3355
5070,31,3.9,13.0015,12.3339
5100,31.1,3.9001,13.0119,12.3325
5130,30.9,3.9002,13.0142,12.3285
5160,30.7,3.9,13.0052,12.3261
5190,30.6,3.9001,13.0039,12.3239
5220,30.5,3.9,13.0027,12.3225
5250,30.4,3.9001,13.0106,12.3222
5280,30.4,3.9001,13.0008,12.3179
5310,30.4,3.9003,13.0011,12.3167
5340,30.3,3.9001,13.0011,12.3132
5370,30.4,3.9,13.0017,12.3124
5400,30.1,3.9002,13.0065,12.3091
5430,30,3.9002,13.0112,12.3059
5460,29.9,3.9002,13.001,12.3048
5490,29.8,3.9,13.0014,12.3018
5520,30,3.9002,13.0074,12.304
5550,30.3,3.9002,13.0097,12.3028
5580,30.6,3.9002,13.0012,12.3026
5610,31,3.9,13.0012,12.3015
5640,30.4,3.9002,13.0034,12.2968
5670,30.1,3.9002,13.0108,12.2954
5700,30,3.9001,13.0013,12.2914
5730,29.9,3.9001,13.0109,12.2896
5760,29.8,3.9002,13.0011,12.2878
5790,30.1,3.9002,13.0036,12.2867
5820,30.4,3.9002,13.0012,12.2863
5850,30.6,3.9,13.0012,12.2842
5880,30.1,3.9002,13.0044,12.2794
5910,29.9,3.9003,13.0012,12.2754
5940,29.6,3.9,13.0052,12.2732
5970,29.6,3.9001,13.0136,12.2721
6000,29.6,3.9002,13.0013,12.2707
6030,29.8,3.9001,13.0009,12.2704
6060,30.1,3.9002,13.0013,12.2694
6090,30.3,3.9002,13.0012,12.2726
6120,30.8,3.9002,13.0012,12.269
6150,30.2,3.9001,13.0103,12.3986
6180,30.1,3.9001,13.0014,12.407
6210,29.9,3.9,13.0012,12.3737
6240,29.9,3.9001,13.0012,12.2718
6270,29.9,3.9001,13.0045,12.2672
6300,30.2,3.9001,13.0022,12.3159
6330,30.5,3.9,13.0055,12.2939
