Cycle,Tem,电压(V),电流(A),放电容量(Ah)
0,29.6,3.6501,12.9993,13.5022
30,25.9,3.6501,13.0013,13.4832
60,26.0,3.6501,12.9985,13.4726
90,27.9,3.6501,12.9968,13.4767
120,28.4,3.6501,12.9997,13.4728
150,28.6,3.6501,12.9998,13.4662
180,28.6,3.6501,12.997,13.462
210,28.1,3.6501,13.0036,13.4539
240,27.9,3.6501,12.9972,13.446
270,27.2,3.6501,13.0112,13.4386
300,27.9,3.6501,12.9975,13.4327
330,28.2,3.6501,12.9971,13.4254
360,28.1,3.6502,12.9975,13.421
390,28.1,3.6502,13.0015,13.4153
420,28.4,3.6501,12.9972,13.4116
450,29.0,3.6501,12.998,13.4081
480,29.3,3.6501,13.0008,13.404
510,29.6,3.6501,13.0016,13.3976
540,29.1,3.6501,12.9975,13.3901
570,29.0,3.6501,13.0005,13.3833
600,28.9,3.6501,12.9972,13.3775
630,28.9,3.6502,12.9995,13.3738
660,29.2,3.6501,13.001,13.371
690,29.7,3.6501,13.0021,13.3677
720,29.9,3.6502,13.0044,13.3619
750,29.5,3.6501,12.9973,13.3538
780,29.2,3.6501,13.0099,13.3489
810,29.2,3.6501,13.0098,13.3435
840,29.2,3.6501,12.9977,13.3385
870,29.2,3.6501,12.999,13.3345
900,29.6,3.6501,13.001,13.332
930,27.9,3.6501,13.0035,13.3212
960,29.7,3.6501,12.9986,13.3217
990,29.6,3.6501,13.0002,13.3174
1020,29.5,3.6501,13.0005,13.3121
1050,29.6,3.6502,12.9994,13.3076
1080,29.6,3.6501,12.998,13.3036
1110,29.7,3.6501,12.9981,13.3009
1140,30.1,3.6501,12.9972,13.2985
1170,30.5,3.6501,12.9971,13.2947
1200,30.5,3.6501,12.9973,13.29
1230,30.2,3.6501,12.9987,13.2847
1260,30.2,3.6501,13.0131,13.2797
1290,30.2,3.6501,12.9999,13.276
1320,29.7,3.6501,12.9985,13.2686
1350,29.8,3.6501,13.0055,13.2657
1380,30.0,3.6502,12.9986,13.2636
1410,30.2,3.6501,12.9992,13.2601
1440,30.3,3.6501,13.0018,13.2561
1470,29.8,3.6501,13.001,13.2506
1500,29.6,3.6501,12.9994,13.2462
1530,29.5,3.6501,12.9984,13.2426
1560,29.6,3.6501,13.0066,13.2385
