Cycle,Tem,电压(V),电流(A),放电容量(Ah)
0,29.1,3.9,12.9999,13.1168
30,28.7,3.9001,13.0025,13.0461
60,28.6,3.9001,13.0052,12.9776
90,28.6,3.9001,13.0013,12.9636
120,28.9,3.9002,13.0013,12.9334
150,29.3,3.9001,13.0025,12.92
180,26.5,3.9,13.011,12.8933
210,26.1,3.9001,13.0011,12.9005
240,25.8,3.9001,13.0013,12.8948
270,28.1,3.9002,13.0045,12.8748
300,28.5,3.9001,13.0015,12.8619
330,28.5,3.9001,13.002,12.8461
360,28.7,3.9001,13.0068,12.8402
390,27.4,3.9001,12.9999,12.8377
420,27.6,3.9001,13.0013,12.8165
450,27.2,3.9001,13.0021,12.8096
480,27.9,3.9001,13.0099,12.8081
510,28.2,3.9,13.0018,12.7995
540,28.2,3.9,13.0016,12.7953
570,28.2,3.9002,13.0019,12.7906
600,28.3,3.9002,13.0019,12.7837
630,28.9,3.9001,13.0022,12.7838
660,29.1,3.9001,13.0062,12.7968
690,29.8,3.9001,13.0018,12.7759
720,29.3,3.9,13.0,12.7607
750,29.0,3.9001,13.0013,12.7462
780,28.9,3.9001,13.0016,12.7324
810,28.9,3.9,13.0016,12.724
840,29.0,3.9001,13.0018,12.7294
870,29.4,3.9001,13.0017,12.7286
900,29.9,3.9001,13.0101,12.7264
930,29.9,3.9001,13.0017,12.7236
960,29.6,3.9,13.0013,12.708
990,29.2,3.9001,13.0122,12.6983
1020,29.1,3.9001,13.0014,12.6932
1050,29.2,3.9002,13.0,12.6957
1080,29.2,3.9002,13.0013,12.6905
1110,29.5,3.9001,13.0021,12.6845
1140,29.9,3.9,13.0123,12.6726
1170,29.4,3.9001,13.0017,12.6745
1200,29.7,3.9,13.0013,12.8459
1230,29.6,3.9001,13.0089,12.8522
1260,29.5,3.9001,13.0012,12.8187
1290,29.6,3.9,13.0012,12.701
1320,29.6,3.9002,13.0086,12.6623
1350,29.8,3.9001,13.0097,12.661
1380,30.2,3.9001,13.0063,12.6521
1410,30.4,3.9002,13.0014,12.6445
1440,30.4,3.9001,13.0014,12.641
1470,30.2,3.9,13.0015,12.6342
1500,30.1,3.9001,13.0017,12.6266
1530,30.2,3.9002,13.0015,12.6198
1560,29.7,3.9002,13.0013,12.6158
1590,29.8,3.9001,13.0118,12.6069
1620,30.0,3.9002,13.0012,12.6025
1650,30.3,3.9001,13.0013,12.5995
1680,30.2,3.9001,13.0013,12.5946
1710,29.9,3.9001,13.0003,12.5874
1740,29.6,3.9,13.0042,12.5855
1770,29.5,3.9001,13.0013,12.5844
1800,29.6,3.9001,13.0013,12.5952
1830,29.8,3.9001,13.0013,12.5697
1860,30.2,3.9,13.0054,12.564
1890,30.5,3.9,13.0011,12.5614
1920,31.0,3.9,13.0012,12.5575
1950,30.5,3.9001,13.0015,12.5528
1980,30.2,3.9,13.0012,12.5485
2010,30.3,3.9002,13.001,12.5446
2040,30.3,3.9001,12.9998,12.6038
2070,30.4,3.9002,13.0067,12.5396
2100,30.7,3.9001,13.0013,12.5337
2130,30.9,3.9002,13.001,12.531
2160,30.8,3.9001,13.0013,12.5281
2190,30.6,3.9001,13.0011,12.5231
2220,30.4,3.9001,13.001,12.5213
2250,30.4,3.9002,13.001,12.5148
2280,30.3,3.9001,13.001,12.5125
2310,30.2,3.9001,13.0067,12.5517
2340,30.2,3.9001,13.0011,12.5065
2370,30.4,3.9001,12.9999,12.5018
2400,30.4,3.9001,13.001,12.4976
2430,30.3,3.9001,13.0011,12.4917
2460,30.2,3.9,13.0009,12.4893
2490,30.1,3.9001,13.0009,12.4841
2520,30.0,3.9,13.0137,12.4806
2550,30.1,3.9001,13.001,12.4802
2580,30.3,3.9002,13.002,12.4773
2610,30.6,3.9001,13.0011,12.4964
2640,30.6,3.9001,13.014,12.4953
2670,30.4,3.9001,13.0014,12.5002
2700,30.2,3.9,13.0098,12.5341
2730,30.1,3.9001,13.0015,12.5136
2760,30.0,3.9,13.0014,12.4869
2790,29.9,3.9002,13.0016,12.4606
2820,30.2,3.9001,13.0017,12.6278
2850,29.9,3.9001,13.0014,12.5735
2880,29.3,3.9001,13.0014,12.4689
2910,29.6,3.9002,13.0123,12.4471
2940,29.3,3.9001,13.0041,12.4406
2970,29.3,3.9,13.0057,12.4365
3000,29.2,3.9002,13.0015,12.4347
3030,29.2,3.9,13.0,12.4296
3060,29.5,3.9,13.0016,12.4303
3090,29.9,3.9001,13.0016,12.4265
3120,30.2,3.9002,13.0015,12.4226
3150,30.8,3.9001,13.0016,12.4208
3180,30.1,3.9001,13.0022,12.4194
3210,29.9,3.9001,13.002,12.4281
3240,29.8,3.9,13.0019,12.4236
3270,29.8,3.9002,13.0093,12.4109
3300,30.0,3.9,13.0017,12.4066
3330,30.3,3.9001,13.0069,12.421
3360,30.6,3.9001,12.9999,12.4088
3390,31.2,3.9001,13.0002,12.4073
3420,30.7,3.9,13.0018,12.3986
3450,30.4,3.9002,13.0038,12.4041
3480,30.3,3.9001,13.0019,12.3922
3510,30.2,3.9002,13.0016,12.3874
3540,30.3,3.9001,13.0016,12.3823
3570,30.7,3.9001,13.0022,12.38
3600,31.1,3.9,13.0103,12.378
3630,31.1,3.9001,13.0015,12.3756
3660,30.9,3.9001,13.0024,12.3718
3690,30.6,3.9001,13.0019,12.3714
3720,30.5,3.9,12.9999,12.4449
3750,30.5,3.9,13.0026,12.3877
3780,30.4,3.9001,13.0048,12.4436
3810,30.7,3.9001,13.0021,12.5464
3840,31.0,3.9001,13.0016,12.5136
3870,31.4,3.9001,13.0021,12.3912
3900,31.3,3.9,13.0017,12.359
3930,30.8,3.9,13.0021,12.3543
3960,30.7,3.9002,13.0017,12.3513
3990,30.6,3.9001,13.0019,12.3488
4020,30.6,3.9001,13.0139,12.3466
4050,30.8,3.9001,13.0002,12.3446
4080,31.2,3.9001,13.0016,12.342
4110,31.4,3.9002,13.0136,12.3398
4140,31.4,3.9,13.0015,12.3764
4170,31.1,3.9,13.0017,12.3598
4200,31.0,3.9001,13.0019,12.3555
4230,30.9,3.9001,13.0049,12.3508
4260,30.9,3.9001,13.002,12.3421
4290,31.1,3.9,13.0133,12.3382
4320,31.4,3.9001,13.0017,12.3316
4350,31.5,3.9,13.002,12.3271
4380,31.5,3.9001,13.0001,12.3196
4410,31.2,3.9,13.002,12.312
4440,31.2,3.9002,13.002,12.3102
4470,31.0,3.9,13.006,12.3058
4500,30.9,3.9001,13.013,12.3033
4530,31.0,3.9002,13.0018,12.3019
4560,31.0,3.9,13.0018,12.3006
4590,31.2,3.9002,13.0048,12.2981
4620,31.4,3.9002,13.0036,12.2959
4650,31.5,3.9001,13.002,12.2945
4680,31.0,3.9001,13.0021,12.2913
4710,30.8,3.9001,13.0103,12.2876
4740,30.7,3.9001,13.002,12.2854
4770,30.5,3.9002,13.0021,12.2833
4800,30.8,3.9001,13.0019,12.282
4830,30.9,3.9001,13.0113,12.2805
4860,31.2,3.9001,13.0074,12.2776
4890,31.2,3.9,13.0037,12.274
4920,30.9,3.9001,13.0017,12.2722
4950,30.8,3.9001,13.0019,12.2707
4980,30.6,3.9001,13.0018,12.2667
5010,30.6,3.9,13.002,12.2646
5040,30.8,3.9,13.0009,12.2626
5070,31.0,3.9002,13.0133,12.2622
5100,31.2,3.9,13.0059,12.2584
5130,30.9,3.9001,13.0023,12.2566
5160,30.8,3.9001,13.0019,12.2544
5190,30.6,3.9002,13.0024,12.2504
5220,30.5,3.9001,13.0019,12.248
5250,30.4,3.9001,13.002,12.2457
5280,30.3,3.9,13.002,12.2425
5310,30.3,3.9001,13.0149,12.2409
5340,30.5,3.9,13.0069,12.2394
5370,30.4,3.9,13.0,12.2397
5400,30.3,3.9,13.002,12.235
5430,30.0,3.9001,13.0019,12.232
5460,29.9,3.9,13.0019,12.2304
5490,29.8,3.9001,13.0019,12.2287
5520,29.9,3.9001,13.0023,12.228
5550,30.1,3.9,13.0017,12.2312
5580,30.4,3.9001,13.0052,12.2288
5610,30.6,3.9002,13.0033,12.225
5640,30.6,3.9001,13.0077,12.2312
5670,30.2,3.9001,13.0021,12.2203
5700,30.0,3.9001,13.0037,12.3894
5730,29.9,3.9002,13.0021,12.2254
5760,29.7,3.9001,13.002,12.2189
5790,29.9,3.9,13.0019,12.2179
5820,30.2,3.9001,13.002,12.2157
5850,30.6,3.9001,13.0019,12.2146
5880,30.2,3.9001,13.002,12.2091
5910,30.0,3.9001,13.0055,12.208
5940,29.7,3.9001,13.0117,12.2051
5970,29.6,3.9001,13.0021,12.2018
6000,29.5,3.9,13.0022,12.2008
6030,29.7,3.9001,13.0091,12.1998
6060,30.0,3.9001,13.0021,12.198
6090,30.1,3.9002,13.0109,12.1961
6120,30.5,3.9001,13.0124,12.1936
6150,30.6,3.9,13.0022,12.19
6180,30.2,3.9,13.0023,12.1854
6210,30.0,3.9001,13.0022,12.1829
6240,29.9,3.9001,13.0043,12.1796
6270,29.8,3.9002,13.0055,12.1781
6300,29.9,3.9,13.002,12.1782
6330,30.3,3.9,13.0021,12.1902
6360,30.5,3.9001,12.9998,12.1774
6390,30.9,3.9002,13.0045,12.1764
6420,30.2,3.9001,13.002,12.1735
6450,30.0,3.9001,13.0041,12.1703
6480,29.9,3.9001,13.0095,12.1721
6510,29.8,3.9002,13.007,12.1749
6540,29.9,3.9002,13.0124,12.1605
6570,30.3,3.9,13.002,12.1589
6600,30.4,3.9001,13.0021,12.1566
6630,30.5,3.9002,13.0022,12.1546
6660,30.1,3.9002,13.0021,12.1525
6690,30.0,3.9001,12.9998,12.1504
6720,29.9,3.9001,13.0011,12.1487
6750,29.9,3.9,13.0019,12.1465
6780,29.8,3.9002,13.002,12.1457
6810,30.1,3.9002,13.0023,12.1437
6840,30.4,3.9002,13.0021,12.1427
6870,30.4,3.9002,13.0024,12.1417
6900,30.7,3.9,13.0026,12.1413
6930,30.2,3.9002,13.0021,12.1423
6960,30.0,3.9001,13.0021,12.1344
6990,30.0,3.9001,13.002,12.1326
7020,30.0,3.9001,13.0024,12.1348
7050,30.1,3.9001,13.0028,12.1311
7080,30.4,3.9002,13.0019,12.1593
